"Jessica Rojas beat poverty to put herself through engineering college, where she collected accolades for academic achievement.","Complex"
"After graduating last year, Ms. Rojas, who grew up in Chicago, was hired by a utility company to help modernize the city\’s electrical grid.","Complex"
"But her life could soon be upended in a showdown over a five-year-old initiative, Deferred Action for Childhood Arrivals, or DACA, which has granted permission to stay and work to about 800,000 immigrants like Ms. Rojas who were brought illegally to the United States as children.","Complex"
"Since attacking DACA on the campaign trail, President Trump has pledged to keep the program alive, calling recipients, also known as Dreamers, absolutely incredible kids who deserve compassion. ","Complex"
"But in recent days, key players in his administration have advised Mr. Trump to wind down the program, and his attorney general, Jeff Sessions, has informed him he considers it unconstitutional and cannot defend it in court, according to people familiar with the discussions who insisted on anonymity to describe private deliberations.","Complex"
"While the White House has declined to comment on the fate of DACA, several officials and people briefed on the discussions now say the president is on the brink of ending it, although they note that Mr. Trump often changes his mind.","Complex"
"Mr. Trump has been pondering — and publicly agonizing over — what to do about the program since he took office. But discussions about it inside the White House took on new urgency after a group of conservative state attorneys general threatened to sue the Trump administration in federal court unless it begins to dismantle the program by Sept. 5.","Complex"
"John F. Kelly, the president\’s chief of staff, expressed skepticism in July, when he was homeland security secretary, that the program would survive legal scrutiny.","Complex"
"The Justice Department would be responsible for defending DACA, but Attorney General Jeff Sessions, a fierce opponent of the program, has not said whether he would, and the president has not said whether he would order Mr. Sessions to do so.","Complex"
"Even if he did, it is not clear that the program would survive a court challenge; ","Complex"
"Republican attorneys general have had success blocking other Obama-era immigration policies.","Complex"
"But a decision by the administration not to defend it would almost certainly spell a death knell for the program, said Paul Virtue, a partner in the law firm of Mayer Brown who in the 1980s and \’90s was a senior official at the Immigration and Naturalization Service, as the agency was then known.","Complex"
"DACA has changed the lives of many beneficiaries, enabling them to qualify for financial aid for college, secure better jobs and open bank accounts.","Complex"
"These milestones on the road to self-sufficiency would be jeopardized if DACA is wiped out.","Complex"
"It allowed me to blend into society in every way, said Monica Lazaro, 24, who was born in Honduras but raised in Miami.","Complex"
"DACA made it possible for her to obtain a driver\’s license, pay in-state college tuition and live without fear.","Complex"
"Ms. Lazaro has been working as a research associate at Nova Southeastern University studying chronic fatigue syndrome, and recently received security clearance to work at the Department of Veterans Affairs hospital in Miami.","Complex"
"Without DACA, I would be fired immediately,c she said.","Complex"
"Most crucially, if DACA ends, those who benefit from the program would again be eligible for deportation.","Complex"
"And they would not be hard to find — the Department of Homeland Security has DACA and tax documents showing their addresses, which may also be the addresses of their undocumented parents.","Complex"
