"Memories can't ignore","Slayer"
"A cannibal's desire feeds the fire","Slayer"
"A child's dream of death.","Slayer"
"A child's toy sudden death.","Slayer"
"A force that has lived all eternity.","Slayer"
"A simple quest for a visible savior, To lead us through our final prayer.","Slayer"
"A soul that will never rest.","Slayer"
"A vile smell, like tasting death.","Slayer"
"A war raging deep inside my head, A split decision that will end with me dead.","Slayer"
"All life I drain.","Slayer"
"Ambushed by the spray of lead","Slayer"
"An echo bouncing inside my brain.","Slayer"
"An unforseen future nestled somewhere in time.","Slayer"
"And life's blood.","Slayer"
"Anguish of before","Slayer"
"At one with evil that has ruled before.","Slayer"
"Bastard sons begat your cunting daughters, Promiscuous mothers with your incestuous fathers.","Slayer"
"Bearer of no name.","Slayer"
"Beaten and torn","Slayer"
"Before you see the light you must die.","Slayer"
"Begging, pleading, bullets drop like rain.","Slayer"
"Blind obedience carries me through it all, Do only what is expected of me.","Slayer"
"Blind obedience carries me through it all.","Slayer"
"Body that lay before me, In everlasting death.","Slayer"
"Body that rests before me, With every dying breath, Spellbound and gagged, I commence your flesh to dirt.","Slayer"
"Bury the unwanted child.","Slayer"
"Can you hear the serpents call, Look deep in those deceiving eyes.","Slayer"
"Candles burn the midnight oil, Incense fills the night.","Slayer"
"Cascaded darkness","Slayer"
"Chaos rampant, An age of distrust.","Slayer"
"Close your eyes and see what is me, Raise the chalice, embrace for evermore.","Slayer"
"Come walk with me through endless time.","Slayer"
"Confrontations.","Slayer"
"Conscience a word I learned to forget.","Slayer"
"Count the bullet holes in your head.","Slayer"
"Counting off death tolls.","Slayer"
"Crucify the bastard son.","Slayer"
"Dead","Slayer"
"Dead bodies, dying and wounded","Slayer"
"Dead soul, Stone cold, Out into the night.","Slayer"
"Death shines on the air of silence, A ritual of endless time.","Slayer"
"Death walks inside you, Smell death around you, Hell's evil spell takes a soul, Hear the sound of the bell","Slayer"
"Death's an art, flesh and earth never part, A power of the mind.","Slayer"
"Do only what is expected of me, With no emotions my feelings suppressed.","Slayer"
"Drive the salt in the wound, arouse the subconscious to lie.","Slayer"
"Dying +AFs-in+AF0- terror, Blood's cheap, it's everywhere.","Slayer"
"Electric, circus, wild, Deep in the infants mind.","Slayer"
"Embryonic death, Embedded in your brain.","Slayer"
"Emptiness in twilight's rebirth, The faint sounds of shoveled earth.","Slayer"
"Empty altar awaits its victim","Slayer"
"Engreat souls condemned for all eternity, Obtained by immoral observance a domineering deity.","Slayer"
"Enter the kingdom of desire.","Slayer"
"Entombed in abscess, To rot and lie stinking in the earth.","Slayer"
"Evangelist you claim God speaks through you, Your restless mouth full of lies gains popularity.","Slayer"
"Experience pleasures thought unobtained.","Slayer"
"Exploding, reloading, this quest never ending","Slayer"
"Extraction termination","Slayer"
"Fallen mercenary, dormancy is done, Not content with wars we never won.","Slayer"
"Falling down can you feel the heat, Burn","Slayer"
"Fate silent warriors sleeping souls will arise.","Slayer"
"Feeling a sickness building inside of me, Who will I really have to answer to.","Slayer"
"Fires burning can you hear","Slayer"
"Flesh burns, it fills the air. Souls drift, they fill...","Slayer"
"Fly swatter stakes drive through your chest.","Slayer"
"Forced to fight, behind, The crooked cross.","Slayer"
"Forgotten children, conform a new faith, Avidity and lust controlled by hate.","Slayer"
"Forms of hanging, flesh shredded carcass","Slayer"
"Grand canyons of space and time universal","Slayer"
"Guidance, it means nothing","Slayer"
"Hatred victimize, gaze in their eyes as they die.","Slayer"
"His spirit lives and breathes in me.","Slayer"
"Hold me under.","Slayer"
"Holes burn deep in your chest, Raked by machine gun fire.","Slayer"
"Hooks to my brain are well in","Slayer"
"How much can I take of the pain, The pain","Slayer"
"Humanity maintained.","Slayer"
"Hunting with bated breath.","Slayer"
"I deal in pain.","Slayer"
"I dominate.","Slayer"
"I face the impregnable wall","Slayer"
"I know what I am, I'm Berlin","Slayer"
"I seal your fate.","Slayer"
"I'll have your soul.","Slayer"
"I'll show you sights that you would not believe.","Slayer"
"I'm stabbing and bawling, I'm punching and crawling","Slayer"
"Ignore the writing on the wall, You should read between the lies.","Slayer"
"Imprisoned in a shell, ready to explode.","Slayer"
